نام محصول,لینک محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی
کرم دست آبرسان و مرطوب کننده,https://www.khanoumi.com/products/bielenda-comfort-cream-moisturizing-hand-compress-20138,"کرمش عالیه کاش ابرسان صورت همبود که راحت میشدم 
",0,true,2019-04-24T22:32:35.5333333+00:00,مثبت,0.79,محصول,محصول
کرم دست آبرسان و مرطوب کننده,https://www.khanoumi.com/products/bielenda-comfort-cream-moisturizing-hand-compress-20138,این کرم عااااالیه..من اولین دفعه هس ک سفارش دادم و استفاده کردم عاشقش شدم..,1,true,2019-02-23T23:51:28.46+00:00,خنثی,0.35,محصول,محصول
کرم دست آبرسان و مرطوب کننده,https://www.khanoumi.com/products/bielenda-comfort-cream-moisturizing-hand-compress-20138,کاش توی حراج بذارینش ,1,false,2018-11-24T21:31:03.21+00:00,خنثی,0.35,سایر,سایر
کرم دست آبرسان و مرطوب کننده,https://www.khanoumi.com/products/bielenda-comfort-cream-moisturizing-hand-compress-20138,این کرم خیلی عالیه دفعه اول که زدم عاشقش شدم نرم کنندگی آبرسانی و مرطوب کنندگیش عالیه،حجمشم خوبه😍,0,true,2018-09-12T12:00:37.6633333+00:00,مثبت,0.95,محصول,محصول
کرم دست پوست خشک و زبر,https://www.khanoumi.com/products/bielenda-comfort-cream-mask-for-dry-hands-20139,ضد آفتاب بی لیندا من راضی ام خیلی مناسب برای پوست های خشک.,2,false,2019-10-20T12:53:56+00:00,مثبت,0.79,محصول,محصول
کرم دست پوست های آسیب دیده,https://www.khanoumi.com/products/bielenda-comfort-cream-dressing-for-extremely-damaged-hand-skin-20140,عالی بود. خیلی خوب روی پوست میشینه بدون اینکه چرب کنه پوست دست رو خیلی نرم میکنه و من پوست دستم واقعا افتضاح شده بود و هر کرمی بگید استفاده کرده بودم و فایده نداشت ولی این کرم کاری کرد که امیدوار شدم به دستم. شانس لطفا,3,true,2019-06-25T23:55:39.2133333+00:00,ترکیبی,0.92,محصول,محصول
بسته مسافرتی لوسیون برنزه کننده 5 عددی,https://www.khanoumi.com/products/potion-tanning-lotion-travel-size-20141,اگه ميشه موجود كنين🙏🏾,6,true,2019-03-12T22:26:22.3266667+00:00,خنثی,0.35,محصول,محصول
شامپو درخشان کننده مو 50 میلی  لیتر,https://www.khanoumi.com/products/yves-rocher-intense-shine-shampoo-20142,مروارید عزیز؛ لطفا مشکل خود را به امور مشتریان خانومی از بخش خریدها من ارسال بفرمایید تا بررسی شود. ,0,false,2018-09-25T16:45:24.32+00:00,خنثی,0.35,محصول | تحویل و ارسال,محصول
شامپو درخشان کننده مو 50 میلی  لیتر,https://www.khanoumi.com/products/yves-rocher-intense-shine-shampoo-20142,باسلام. من این محصول را خریدم ولی شامپو محافظت کننده و براق کننده مخصوص موهای رنگ شده به دستم رسیده. حتی شکل بسته بندی با هم فرق می کند. چرا؟,0,true,2018-09-24T18:05:33.6066667+00:00,خنثی,0.35,محصول | تحویل و ارسال,محصول
شامپو درخشان کننده مو 50 میلی  لیتر,https://www.khanoumi.com/products/yves-rocher-intense-shine-shampoo-20142,واقعا عالی بود. با یکبار مصرف هم دیگه ریزش مو ندارم و هم واقعا موها رو درخشان و براق می کنه.,0,true,2018-08-11T11:23:43.1466667+00:00,مثبت,0.79,محصول,محصول
