نام محصول,لینک محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی
کرم پودر میوه ای هلثی میکس,https://www.khanoumi.com/products/bourjois-healthy-mix-foundation-3,لطفا موجود کنین,0,false,2025-01-02T14:10:05.0014342+00:00,خنثی,0.35,محصول,محصول
کرم پودر میوه ای هلثی میکس,https://www.khanoumi.com/products/bourjois-healthy-mix-foundation-3,لطفا شارژ کنید، دو ساله فقط از این کرم استفاده میکنم، واقعا عالیه,0,false,2024-05-13T17:06:57+00:00,مثبت,0.79,محصول,محصول
کرم پودر میوه ای هلثی میکس,https://www.khanoumi.com/products/bourjois-healthy-mix-foundation-3,لطفاً شارژ کنید,0,false,2024-04-12T23:32:35+00:00,خنثی,0.35,سایر,سایر
کرم پودر میوه ای هلثی میکس,https://www.khanoumi.com/products/bourjois-healthy-mix-foundation-3,من خیلی راضیم ازش پوستم خشکه و رطوبتش باعث میشه پوستم خشک تر نشه چون در مورد کرم پودرای دیگه اینطوره اما قیمتش خیلی بالا رفته لطفا آف خوب بذارید,0,false,2023-10-21T18:05:48+00:00,مثبت,0.91,محصول | قیمت,محصول
کرم پودر میوه ای هلثی میکس,https://www.khanoumi.com/products/bourjois-healthy-mix-foundation-3,اصلا کاور خوبی نداره .اگر پوستتان کاملا بدون لک و جای جوش و...هست تهیه کنید چون هیچ چیز را کاور نمیکنه,3,true,2023-07-08T09:45:34+00:00,منفی,0.67,محصول | اصل بودن کالا,اصل بودن کالا
کرم پودر میوه ای هلثی میکس,https://www.khanoumi.com/products/bourjois-healthy-mix-foundation-3,من خیلی راضی بودم،ولی یهو قیمتش خیلی رفت بالا.لطفاااا یه تخفیف خوب بزارید,2,true,2023-06-25T23:45:06+00:00,مثبت,0.79,قیمت | محصول,قیمت
کرم پودر میوه ای هلثی میکس,https://www.khanoumi.com/products/bourjois-healthy-mix-foundation-3,تخفیف بزنید این محصول رو قیمتش نسبت به قبل خیلی زیاد شده ، لطفا یه تخفیف خوب بزنید همه بخرن ,3,false,2023-06-20T08:34:08+00:00,مثبت,0.67,قیمت | محصول,قیمت
کرم پودر میوه ای هلثی میکس,https://www.khanoumi.com/products/bourjois-healthy-mix-foundation-3,خیلی بافت سبکی داره و پوشش دهیش با توجه برای مصرف روزانه قابل قبوله ، من خیلی خیلی راضی بودم ممنون میشم هر چه سریعتر شارژ بشه,0,false,2023-04-08T21:09:14+00:00,مثبت,0.79,محصول,محصول
کرم پودر میوه ای هلثی میکس,https://www.khanoumi.com/products/bourjois-healthy-mix-foundation-3,چرا رنگ روشن شارژ نمیشه؟,7,true,2023-03-29T19:48:29+00:00,خنثی,0.35,محصول,محصول
کرم پودر میوه ای هلثی میکس,https://www.khanoumi.com/products/bourjois-healthy-mix-foundation-3,این کرم پودر خیلی سبکه و پوشش دهی خیلی خوبی داره. رنگ دهیش هم عالیه و طیف رنگاش وسیعه. بیشتر برای پوست خشک مناسبه. برای مصرف روزانه خیلی عالیه. اصلا روی پوست نمیماسه و خط نمیندازه. قیمتش هم مناسبه و به نظر من ارزش خرید داره,21,false,2022-07-11T09:38:30+00:00,مثبت,0.95,محصول | قیمت | اصل بودن کالا,محصول
