نام محصول,لینک محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,لطفا تخفیف بذارید ,0,true,2024-04-21T17:26:32+00:00,خنثی,0.35,قیمت,قیمت
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,من شماره 85را خریدم لب را نرم میکنه خیلی خوشرنگه ماندگاری خوبی هم داره ,0,true,2024-03-18T11:41:06+00:00,مثبت,0.67,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,رنگ  83گرفتم خوبه سبکه پوسته نمیشه و کلن رژلب با کیفیتیه,0,true,2024-03-03T08:19:49+00:00,مثبت,0.79,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,من رنگ ال 85 گرفتم،تم نارنجی داره،اکلیلم توشه،ماندگاریشم خوبه،به پوست سفید خیلی میاد ,0,true,2024-02-16T12:56:51+00:00,مثبت,0.79,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,"رژلب خیلی خوبیە 
سبک و مات با ماندگاری و پیگمنت عالی
با غذا خوردن خط نمیفتە،پاک نمی شە،پوستە پوستە نمی شە
با اینکە ماتە ولی توش دونەهای اکلیل ریز دارە کە خیلی قشنگە رو لب",0,false,2024-02-09T20:54:01+00:00,مثبت,0.91,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,به قدری عاشقش شدم که حد نداره مطمئنم بازم سفارش میدم رنگ 85 بی نظیر بود شاین ریزی هم داره که دو برابر زیبایی میبخشه خیلی هم سبک خلاصه هرچی بگم کم گفتم,0,true,2024-01-14T20:19:03+00:00,خنثی,0.35,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,رنگهای 83 و 85 خیلی خوشرنگن و واقعا بافت سبکی دارن از بیشتر محصولات کالیستا استفاده میکنم خیلی راضیم ممنونم از خانومی,0,false,2023-12-28T11:44:26+00:00,مثبت,0.91,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,من رنگ صورتی کرمی رو خریدم اصلا رنگشو دوست ندارم تصورم چیز دیگه ای بود ,0,true,2023-12-15T13:37:52+00:00,مثبت,0.67,محصول | اصل بودن کالا,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,رنگ کالباسی سفارش دادم ولی بیشتر به بنفش نزدیک بود ,0,true,2023-10-18T15:07:46+00:00,خنثی,0.35,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,92 رو شارژ کنید لطفا,0,false,2023-09-12T03:39:54+00:00,خنثی,0.35,سایر,سایر
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,خیلی روی لب خوب نمینشینه و لب رو بد فرم میکنه.,0,true,2023-07-31T12:19:04+00:00,منفی,0.79,سایر,سایر
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,رنگ شماره 86 شارژ نمیشه؟,0,false,2023-07-29T00:07:04+00:00,خنثی,0.35,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,بهترین رژ لب برند ایرانیه، خیلی سبک و ماندگاریه بالایی داره و رنگ هاش کاملا شارپ و جذابه. خیلی عالیه,2,false,2023-03-23T14:40:57+00:00,مثبت,0.91,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,لطفا بقیه ی رنگ ها رو هم تو تخفیف بذارین,0,false,2023-03-17T14:39:27+00:00,خنثی,0.35,محصول | قیمت,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,من رنگ کرم صورتی رو گرفتم اشتباهم تو انتخاب رنگ بود فکر کردم تناژ گرمی داره ولی تناژ سرد داشت و زشت شد رو لبم اگر پوست روشنی دارید این رنگ خیلی بهتون میاد ولی پوستای تیره تر بهتره شماره 85 دو بجای 81 بگیرن,3,true,2023-03-13T16:30:53+00:00,خنثی,0.35,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,بسیار عالی و ماندگاری زیاد شماره 82خیلی دوسش دارم,0,false,2023-02-03T23:53:01+00:00,مثبت,0.67,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,"من شماره 83 و 85 رو تهیه کردم 85 یه رنگ ملایم داره توش اکلیلای ریز هست خیلی جذاب و خوبه برای استفاده روزانه مناسبه 83 هم مایل به بنفش هست قشنگه
دوامش عالیه اصلأ پاک نمیشه خیلی هم سبک هست اصلا رو لب حس نمیشه
فقط حیف که قیمتش خیلی گرون شده ",0,true,2023-02-01T12:51:06+00:00,مثبت,0.95,محصول | اصل بودن کالا | قیمت,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,من رنگ L90روسفارش دادم ک خیلی رنگش قشنگه ولی کیفیت محصول جالب نیست همین ک میزنی کامل گوله گوله میشه وبنابراین ماندگاری نداره,0,true,2023-01-29T21:31:35+00:00,خنثی,0.35,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,واقعا عالیه هم خوشرنگ و ماندگاری بالا و خیلی سبک 😍🥰,0,true,2023-01-28T12:24:32+00:00,مثبت,0.79,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,انقد خوبه ماندگاریش بالاس من خیلی پسندیدم🤩👌,0,false,2023-01-10T11:43:39+00:00,مثبت,0.79,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,من L83 و L90 گرفتم خیلییییی خوشرنگن اصلنم ترک ترک نمیشن و خیلیی با کیفیتن من واقعا از رژلبای کالیستا راضیم😍😍😍,2,true,2022-11-22T14:08:43+00:00,مثبت,0.91,محصول | اصل بودن کالا,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,عالی سبک خوشرنگ,0,true,2022-11-16T20:50:59+00:00,مثبت,0.67,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,شمارهL83 رو گرفتم رنگ خیلی قشنگی داره اصلأ پاک نمیشه و دوامش عالیه مات هست و روی لب اصلأ حس نمیشه اینقدر سبکه همون دفعه اول ک زدم عاشقش شدم دوست دارم رنگهای دیگه اش رو هم امتحان کنم,7,false,2022-06-11T17:18:20+00:00,خنثی,0.35,محصول | اصل بودن کالا,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,این محصول یک رژ لب سبک و مات هست و برای استفاده روزانه واقعا انتخاب مناسبیه. ماندگاری خوبی هم داره.,8,false,2022-02-20T09:06:04+00:00,مثبت,0.67,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,من شماره L90 رو سفارش دادم یه قرمز خوشرنگه. لب رو خشک نمیکنه و ماندگاریش عالیه,9,true,2022-01-30T15:34:56+00:00,مثبت,0.79,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,پیام‌هایی که خوندم همه از رضایت گفتند. اما من اصلا نمیتونم ازش استفاده کنم، برای تست رو دستم زدم خیلی خوب بود، مات، پخش نشد، رنگ عالی، بافت خوب، ماندگاری بالا، اما رو لب استفاده میکنم هیچ کدوم از اینا نداره، اصلا خشک نمیشه و کاملا خیسه، کیفیتش رو لب با اونچه که رو دست تست کردم کاملا متفاوت.,8,true,2022-01-03T10:28:06+00:00,منفی,0.67,محصول | اصل بودن کالا,اصل بودن کالا
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,من رنگ L85رو گرفتم خیلی زیباست یه رنگ نارنجی ملایمه با یه شاین بسیار خاص که شما میتونین این رژ رو حتی سر کار استفاده کنید،اما کیفیتش بعد از استفاده لب خشک و پوسته پوسته نمیکنه اما قبل از استفاده حتما باید بالم لب بزنید وگرنه یه حالت شکستگی طور روی لب ایجاد میشه،من لبم خشکه شاید برای افرادی که لب مرطوب دارن اینجوری نباشه.در کل راضیم هم از کیفیت هم از رنگ و حتما دوباره شارژ میکنم,8,true,2021-09-17T14:05:13+00:00,مثبت,0.79,محصول,محصول
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,من رژ کالیستا رو گرفتم خیلی خوبه شماره L84 اصلا حس نمیشه رو لب کاملا راضیم و خیلی زود به دستم رسید خدا برکت بده بهشون,8,true,2021-06-19T16:47:39+00:00,ترکیبی,0.9,تحویل و ارسال | اصل بودن کالا,تحویل و ارسال
رژ لب مایع ساتین مات,https://www.khanoumi.com/products/callista-stain-matt-lip-gloss-19720,خیلی عالی و خوش رنگ هستن. من شماره ۸۲ و ۸۷ رو دارم . ۸۲ واسه صورت های روشن بنظرم عالیه,9,false,2021-06-16T21:36:54+00:00,مثبت,0.91,محصول,محصول
