نام محصول,لینک محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی
تونرپاک کننده عمیق و ضدجوش سر سیاه مناسب پوست های مستعد جوش و آکنه حجم 150 میل,https://www.khanoumi.com/products/sebamed-clear-face-deep-cleansing-facial-toner-22600,بسیار عالی هستش البته برای رفع جوش و جلوگیری از جوش,0,false,2025-01-16T07:33:29.5100772+00:00,مثبت,0.67,سایر,سایر
تونرپاک کننده عمیق و ضدجوش سر سیاه مناسب پوست های مستعد جوش و آکنه حجم 150 میل,https://www.khanoumi.com/products/sebamed-clear-face-deep-cleansing-facial-toner-22600,یکی از بهترینا ست این برند، بوش که عالیه,2,false,2022-06-17T13:54:39+00:00,مثبت,0.91,محصول,محصول
ژل ضد جوش صورت,https://www.khanoumi.com/products/sebamed-clear-face-anti-pimple-gel-22605,کلینزر سبامد بهتره یا نوتروژنا؟,2,false,2019-02-06T01:53:21.1633333+00:00,خنثی,0.35,سایر,سایر
کرم مرطوب کننده دست و ناخن حاوی ویتامین و کراتین,https://www.khanoumi.com/products/sebamed-hand-and-nail-balm-22609,"کرم خیلی خوبیه و بیشتر خاصیت درمانی داره 
من ناخن های خیلی شکننده ای داشتم و با استفاده فقط چند بار از این کرم مشکلم برطرف شد 
متاسفانه چندوقته دنبالشم و هیچ جا پیدا نمیشه ",0,false,2024-02-21T12:14:28+00:00,ترکیبی,0.74,محصول,محصول
ژل مرطوب کننده صورت پوست چرب و مستعد جوش,https://www.khanoumi.com/products/sebamed-clear-face-care-gel-for-oily-skin-22612,عالی و بی نظیر بود. لطفا موجودش کنید. ممنون.,0,false,2026-04-24T20:34:09.9057051+03:30,مثبت,0.79,محصول,محصول
صابون بیربری 110گرمی,https://www.khanoumi.com/products/ditron-bearberry-soap-22631,پوست خشک میکنه و درماتولوژی نیست و روشن کنندگی هم نداره,0,false,2026-08-24T13:21:00.8627601+03:30,خنثی,0.35,محصول,محصول
صابون بیربری 110گرمی,https://www.khanoumi.com/products/ditron-bearberry-soap-22631,اصلا پیشنهاد نمیکنم,0,false,2026-05-22T13:07:35.0952848+03:30,خنثی,0.35,اصل بودن کالا,اصل بودن کالا
صابون کالندولا مرطوب کننده و آبرسان 110گرمی,https://www.khanoumi.com/products/ditron-calendula-soap-22637,من راضی هستم  بخصوص اینکه ‌بوی ملایمی داره,0,true,2026-02-27T20:43:07.7593621+03:30,مثبت,0.67,محصول,محصول
صابون کالندولا مرطوب کننده و آبرسان 110گرمی,https://www.khanoumi.com/products/ditron-calendula-soap-22637,چندوقته دارم داخل حمام استفاده میکنم تاثیر خاصی ندیدم ولی فکر میکنم خشکی پوستم کمی کمتر کرده,0,true,2026-02-21T10:20:11.551482+03:30,خنثی,0.35,محصول,محصول
صابون کالندولا مرطوب کننده و آبرسان 110گرمی,https://www.khanoumi.com/products/ditron-calendula-soap-22637,خیلی خوبه   انگار  صورتم صاف‌تر شده    پوستم چربه و راضیم,0,true,2026-01-22T12:49:06.5480361+03:30,مثبت,0.95,محصول,محصول
صابون کالندولا مرطوب کننده و آبرسان 110گرمی,https://www.khanoumi.com/products/ditron-calendula-soap-22637,مدتی هست این صابون رو برای شست و شوی صورتم استفاده میکنم ،و راضی هستم ,0,true,2024-08-23T12:28:12+00:00,مثبت,0.67,محصول,محصول
صابون گوگرد 9درصد 110گرمی,https://www.khanoumi.com/products/ditron-sulfur-soap-22641,"برای شست و شوی بدن و جوش بدن خیلی خوبه.
هم آنتی باکتریاله و هم چربی رو از بین میبره و لایه برداری قوی انجام میده.
ترجیحا زیر نظر پزشک مصرف بشه",0,true,2026-01-21T00:33:28.6145684+03:30,ترکیبی,0.9,سایر,سایر
صابون گوگرد 9درصد 110گرمی,https://www.khanoumi.com/products/ditron-sulfur-soap-22641,"برای جوش های بدن با عامل باکتری فوق العاده است.
فقط ممکنه زیادی موضع رو خشک کنه",0,false,2025-12-06T11:11:13.1141199+03:30,ترکیبی,0.66,محصول,محصول
صابون گوگرد 9درصد 110گرمی,https://www.khanoumi.com/products/ditron-sulfur-soap-22641,صابون لایه بردار خیلی قوی بود من بدون آگاهی استفاده کردم پوستم آسیب دید .مناسب بوستهای حساس و نازک نیست و استفاده ازش ماهی یک بار کافیه به نظر من .,0,true,2025-11-23T10:18:37.4739525+03:30,منفی,0.67,محصول,محصول
صابون گوگرد 9درصد 110گرمی,https://www.khanoumi.com/products/ditron-sulfur-soap-22641,من یک ماه دارم استفاده میکنم راضی بودم بعد از استفاده پوستم تمیز و پاک میشه,0,true,2025-09-28T10:49:58.7775277+03:30,مثبت,0.67,محصول,محصول
صابون گوگرد 9درصد 110گرمی,https://www.khanoumi.com/products/ditron-sulfur-soap-22641,اصلا خوب نبود بعد از چند روز هم سیاه شد ومارک دیگه گرفتم راضی بودم,0,false,2024-12-21T21:23:56.7261003+00:00,مثبت,0.67,محصول | اصل بودن کالا,محصول
صابون تی تری 110گرمی,https://www.khanoumi.com/products/ditron-tea-tree-soap-22643,واقعا عالیه,0,false,2024-09-20T15:41:46+00:00,مثبت,0.79,سایر,سایر
صابون کرم‎دار 30درصد حاوی عصاره کالندولا 110گرمی,https://www.khanoumi.com/products/ditron-cream-calendula-extract-soap-22644,قیمت و کیفیت خوب,0,true,2026-08-25T20:41:16.3335406+03:30,مثبت,0.79,محصول | قیمت,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,دو ستاره داره دادم چون بی تاثیره و آسیب خاصی نزد. تا الان که بارها و پشت سر هم طبق دستورش داخل حمام استفاده کردم هیچ تاثیر مثبتی نداشته. ممکنه برای برخی دوستان محصولی کمی موثر باشه ولی با ذکر جزئیات و پس از مدتی استفاده بفرمایید و در صورت لزوم لطفاً آپدیتش کنید. باعث ریزش نشد. ربوطت‌رسان نیست. باعث نرمی موها نشد و خب اگر کمی موها رو نرم کرده دیده نمیشه. بوی خوبی داره که نکته خوبیه ولی چندان هم اهمیت نداره. از خریدش ناراضی هستم و تلاش می کنم دیگه چنین محصولی خریداری نکنم چون به نوعی پول دور ریختنه.,0,true,2026-05-24T09:40:13.7506079+03:30,ترکیبی,0.71,محصول,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,خیلی عالی من دوساله استفاده میکنم اصلا شونه نمیزنم‌موهام و اینقدر نرم میکنه ولی الان قیمتش رفته بالا چرا تخفیف بزارید لطفا,0,true,2026-04-06T03:16:23.2439374+03:30,خنثی,0.35,قیمت | محصول | اصل بودن کالا,قیمت
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,آشغال ترین ماسک مویی که استفاده کردم! موهامو به شدت خشک کرد . اگر موهاتون کراتین شدس که اصلا استفاده نکنید,0,true,2026-02-26T14:40:44.3147249+03:30,مثبت,0.67,محصول | اصل بودن کالا,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,من اینو به تعریف کراتین کارم گرفتم ولی واقعا راضی نبودم ازش موهامو خیلی خشک میکرد و برام عجیب بود همه تعریف میکردن به موهای من نمیساخت انگار.,0,false,2026-02-21T16:19:02.7841803+03:30,منفی,0.67,محصول,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,"من همیشه این‌ماسک میخریدم ولی سری آخری ک خریدم کیفیتش صفر شده و اینکه کلا جاشم مارکای دورش عوض شده خیلی ضعیف شده 
انگاری با دست برچسب چسبوندم 
و‌اینکه کیفیت افتضاح شده",0,false,2025-11-05T01:35:29.2466248+03:30,منفی,0.79,محصول,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,من دو ساله دارم استفاده میکنم واسه اطرافیانم هم خریدم همه عاشقشن اصلا تا میزنی تا دو الی سه روز مو به شونه احتیاج نداره اینقدر که لخت میشه اما هفته ای یه بار استفاده کنید بیشتر کف سر چرب میشه در مدت زمان طولانی,0,true,2025-10-18T20:17:05.0330319+03:30,مثبت,0.67,محصول | اصل بودن کالا,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,من تازه گرفتمش ولی همون بار اول میتونید تغییر و حس کنید,0,true,2025-08-06T12:00:17.9356849+00:00,خنثی,0.35,محصول,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,من با توجه به نظرات خریدم ولی خیلی افتضاحه بدترین ماسک مویی که تا به حال داشتم بسیار از خریدم ناراضی هستم,0,true,2025-08-05T11:37:14.6402367+00:00,ترکیبی,0.92,محصول,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,با یه بار استفاده متوجه میشید چقد عالیه,0,false,2025-07-30T21:25:27.696715+00:00,مثبت,0.79,سایر,سایر
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,با یه بار استفاده، واقعا از نظر من به نسبت بقیه ماسک موهایی که استفاده کردم، خدایی نرم کنندگیش رو دوست داشتم,0,true,2025-05-04T10:31:06.5572214+00:00,مثبت,0.67,محصول,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,برای موی کراتینه مناسبه ؟,0,false,2025-05-03T07:05:55.3338963+00:00,خنثی,0.35,محصول,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,بینظیره,0,false,2025-03-26T11:32:57.7028788+00:00,خنثی,0.35,سایر,سایر
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,بینظییییره عاشقش میشید,0,false,2025-03-22T11:41:51.3118114+00:00,خنثی,0.35,سایر,سایر
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,خوب بود راضی بودم,0,true,2025-03-04T21:53:02.6460223+00:00,مثبت,0.91,محصول,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,عالیه,0,true,2025-01-30T20:59:58.1372962+00:00,مثبت,0.79,سایر,سایر
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,به شدت توصیه میشه.عالیه,0,false,2024-11-21T12:11:27.0526888+00:00,مثبت,0.91,سایر,سایر
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,موجودش کنین عالیه ,0,false,2024-09-23T13:46:02+00:00,مثبت,0.79,محصول,محصول
ماسک مو حرفهای کراتینه 400میل,https://www.khanoumi.com/products/ditron-professional-hair-masque-with-extra-repairing-effect-22651,سلام. این محصول رو تازه خریدم. موهای بسیار خشک و کم آبی دارم. همیشه مجبور بودم از محصولات خارجی استفاده کنم مولی بازم از هر محصولی راضی نبودم ولی به جرات می گم این محصول عالی هست عالی... موهامو خیلی نرم و لطیف کرد از خریدم بشدت راضیم,0,false,2023-10-29T10:45:55+00:00,مثبت,0.91,محصول,محصول
سرم مو نوتری80 میل,https://www.khanoumi.com/products/ditron-nutri-serum-22652,من این سرم رو گرفتم خیلی موهای من رو خوب میکنه. هم ماسک مو و هم سرم مو دیترون میزنم. موهام دکلره و به شدت آسیب دیده هست ولی این دو تا با هم خیلی تاثیر خوبی داشت. ,5,false,2022-05-23T17:31:55+00:00,مثبت,0.91,محصول,محصول
اسپری دو فاز گیاهی حاوی روغن جوانه گندم و شی باتر,https://www.khanoumi.com/products/ditron-two-phase-herbal-conditioner-spray-22656,وقت بخیر عالی هست  لطفا مثل همیشه تخفیف بذارین,0,false,2025-12-10T15:46:02.8234003+03:30,مثبت,0.67,قیمت,قیمت
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,روی موهای فر هیچ تاثیری نداره فقط برای شانه زدن موثره,0,true,2026-07-01T03:57:15.930711+03:30,خنثی,0.35,محصول,محصول
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,من خیلی راضیم دوبار شارژ کردم الان سومین باره,0,false,2026-05-15T13:03:47.2735747+03:30,مثبت,0.79,سایر,سایر
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,خوب بود من دوستش داشتم,0,true,2026-05-14T09:54:03.8686146+03:30,مثبت,0.79,محصول,محصول
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,من خیلی راضی بودم دومی رو میخوام بخرم,0,true,2026-03-18T11:34:40.8229726+03:30,مثبت,0.67,محصول,محصول
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,عالیه من چندین ماها دارم شارژش می‌کنم فوق العاده اس هم بوی خوبی میده هم محافظت میکنه در برابر حرارت هم مو رو نرم میکنه,0,true,2026-03-12T04:34:30.8382071+03:30,مثبت,0.95,محصول,محصول
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,خیلی خوب بود برام ولی من با بوش مشکل دارم بوی عطر مردونه و تند میده,0,false,2026-01-18T18:48:13.8915572+03:30,مثبت,0.91,محصول,محصول
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,تازه استفاده کردم بوی خوبی داره موهامو تا حدی نرم کرد ولی انتظار بیشتری داشتم ازش,0,true,2026-01-12T08:36:50.9943984+03:30,مثبت,0.67,محصول,محصول
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,دوستانی که استفاده کردن راضی بودن ؟,0,false,2025-09-26T15:42:03.9612556+03:30,مثبت,0.67,محصول,محصول
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,عالیه بوی خیلی خوبی داره واینکه شخصاخودم الان مجددتاخربدم حدودا10تا گرفتم وموردرضایت خانواده ام بوده که اوناهم دارن میخرن من که خیلی راضیم ازش,0,false,2025-06-08T01:20:05.1615807+00:00,مثبت,0.95,محصول,محصول
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,خوبه ولی بوی عطر مردونه داره که من دوست ندارم و باید کم بزنید زیاد بزنید یه جوری میشه انگار کثیفه موهات,0,true,2025-04-15T07:37:02.2689284+00:00,مثبت,0.79,محصول,محصول
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,من راضی هستم,0,false,2025-03-09T19:53:49.6321126+00:00,مثبت,0.67,سایر,سایر
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,دوستانی که این محصولو خریدین موهارو چربو سنگین نمیکنه؟,0,false,2024-12-10T20:02:27.2080998+00:00,خنثی,0.35,محصول,محصول
اسپری دو فاز رطوبت رسان مو حاوی کراتین و روغن آرگان حجم 250 میل,https://www.khanoumi.com/products/ditron-tow-phase-conditioner-spray-22657,راضی بودم موهامو نرم و صاف کرد,0,true,2024-09-19T13:48:28+00:00,مثبت,0.67,محصول,محصول
