نام محصول,لینک محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی
اسپری بدن زنانه 24 ساعته بتی 200 میل,https://www.khanoumi.com/products/my-betty-24h-spray-for-women-200ml-27313,بوی الکلش غالب هست و  بوی شیرینش ضعیفه در کل راضی ام و برای یک بار امتحان کردن خوبه.,0,true,2025-05-04T21:20:14.0654718+00:00,مثبت,0.91,محصول,محصول
اسپری بدن زنانه 24 ساعته بتی 200 میل,https://www.khanoumi.com/products/my-betty-24h-spray-for-women-200ml-27313,این اسپری عالیه من بوش رو‌خیلی دوست دارم,2,false,2020-11-07T18:51:00+00:00,مثبت,0.79,محصول,محصول
اسپری بدن زنانه 24 ساعته کلسی 200 میل,https://www.khanoumi.com/products/my-classy-24h-spray-for-women-200ml-27314,عالی بود ماندگاری خوبی هم داره,0,true,2026-05-27T17:07:27.9460089+03:30,مثبت,0.91,محصول,محصول
اسپری بدن زنانه 24 ساعته کلسی 200 میل,https://www.khanoumi.com/products/my-classy-24h-spray-for-women-200ml-27314,اصلا از بوش خوشم نیومد رایحه ی جالبی نداشت زنگ سبزش,0,true,2026-04-28T17:19:31.8619778+03:30,مثبت,0.67,محصول | اصل بودن کالا,محصول
اسپری بدن زنانه 24 ساعته کلسی 200 میل,https://www.khanoumi.com/products/my-classy-24h-spray-for-women-200ml-27314,بوی تندی داره توصیه نمیکنم,0,false,2026-04-26T17:48:44.1476876+03:30,منفی,0.67,محصول,محصول
اسپری بدن زنانه 24 ساعته کلسی 200 میل,https://www.khanoumi.com/products/my-classy-24h-spray-for-women-200ml-27314,خیلی خیلی خوشبو هست و ماندگاری عالی,0,false,2026-04-18T20:55:34.3818111+03:30,مثبت,0.67,محصول,محصول
اسپری بدن زنانه 24 ساعته کلسی 200 میل,https://www.khanoumi.com/products/my-classy-24h-spray-for-women-200ml-27314,خیلی بد بوعه,0,true,2025-02-16T12:26:25.6684532+00:00,منفی,0.67,محصول,محصول
اسپری بدن زنانه 24 ساعته کلسی 200 میل,https://www.khanoumi.com/products/my-classy-24h-spray-for-women-200ml-27314,"خیلی بد بوعه اصلا پیشنهاد نمیدم
بوی آکات زرد میده",0,true,2025-02-16T12:25:08.9556802+00:00,منفی,0.67,محصول | اصل بودن کالا,اصل بودن کالا
اسپری بدن زنانه 24 ساعته کلسی 200 میل,https://www.khanoumi.com/products/my-classy-24h-spray-for-women-200ml-27314,خیلییی خوش بوعه،شک نکنید توی خریدش,0,true,2024-05-24T00:58:46+00:00,خنثی,0.35,محصول,محصول
اسپری بدن زنانه 24 ساعته کلسی 200 میل,https://www.khanoumi.com/products/my-classy-24h-spray-for-women-200ml-27314,موجودش کنین ,0,true,2024-02-20T17:44:31+00:00,خنثی,0.35,محصول,محصول
اسپری بدن زنانه 24 ساعته کلسی 200 میل,https://www.khanoumi.com/products/my-classy-24h-spray-for-women-200ml-27314,خواهشا موجودش کنین. خیلی وقته منتظرشم,0,true,2024-02-20T17:44:18+00:00,خنثی,0.35,محصول,محصول
