نام محصول,لینک محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی
کرم سی سی ایون اوت,https://www.khanoumi.com/products/oriflame-cc-even-out-cream-2119,"کی دوباره شارژ میشه؟؟؟؟
",9,false,2016-02-05T21:02:04.3033333+00:00,خنثی,0.35,سایر,سایر
کرم سی سی ایون اوت,https://www.khanoumi.com/products/oriflame-cc-even-out-cream-2119,"نسا جان 
زمان دقیق شارژ مجدد این محصول مشخص نیست .",6,false,2016-01-10T16:09:40.0433333+00:00,خنثی,0.35,محصول,محصول
کرم سی سی ایون اوت,https://www.khanoumi.com/products/oriflame-cc-even-out-cream-2119,این محصول کی شارژ میشه؟؟؟,11,false,2016-01-10T15:18:53.2766667+00:00,خنثی,0.35,محصول,محصول
کرم سی سی ایون اوت,https://www.khanoumi.com/products/oriflame-cc-even-out-cream-2119,"آناهیتا جان
زمان دقیق شارژ مجدد این محصول مشخص نیست.",3,false,2015-12-27T10:40:32.82+00:00,خنثی,0.35,محصول,محصول
کرم سی سی ایون اوت,https://www.khanoumi.com/products/oriflame-cc-even-out-cream-2119,امکانش هست این محصول دوباره شارژ بشه؟,17,false,2015-12-27T10:29:30.5833333+00:00,خنثی,0.35,محصول,محصول
کرم سی سی ایون اوت,https://www.khanoumi.com/products/oriflame-cc-even-out-cream-2119,"لطفا این محصول زودتر شارژ کنید
ممنون میشم",20,false,2015-12-14T01:08:37.8966667+00:00,مثبت,0.67,محصول,محصول
کرم سی سی ایون اوت,https://www.khanoumi.com/products/oriflame-cc-even-out-cream-2119,"خواهشا این محصول رو در پیشنهاد 10:10 قرار بدید
",16,false,2015-12-09T18:40:50.6133333+00:00,ترکیبی,0.66,محصول,محصول
کرم سی سی ایون اوت,https://www.khanoumi.com/products/oriflame-cc-even-out-cream-2119,شانس خانومي,22,false,2015-12-02T01:20:15.0333333+00:00,خنثی,0.35,سایر,سایر
کرم سی سی ایون اوت,https://www.khanoumi.com/products/oriflame-cc-even-out-cream-2119,این کرم رو الان ده روزه استفاده میکنم واقعا ازش راضیم و تاثيراتشو کامل متوجه شدم بعد از این مدت رنگ روشنش رو استفاده میکنم و پوستم گندمى هست,20,false,2015-11-30T08:15:19.6366667+00:00,مثبت,0.79,محصول,محصول
کرم سی سی ایون اوت,https://www.khanoumi.com/products/oriflame-cc-even-out-cream-2119,لطفا این محصول رو در پیشنهاد 10:10 قرار بدید,33,false,2015-11-25T22:39:52.3533333+00:00,ترکیبی,0.66,محصول,محصول
