نام محصول,لینک محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,یاسمن عزیز / رنگ های پنکک برنزه کننده  بورژوا جملگی تناژ برنز دارند . که شماره 52 آن کاملا برنز شکلاتی میباشد و شماره 51 پوستی برنز متوسط به شما میدهد و البته شماره 54 آن دارای شاین نیز می باشد . ,2,false,2016-04-26T10:22:55.9933333+00:00,خنثی,0.35,محصول,محصول
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,"سلام
ببخشيد ميخوام رنگ پوستم طلايي بشه كدوم شماره بهتره؟ ",5,true,2016-04-25T20:23:46.16+00:00,خنثی,0.35,محصول,محصول
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,خانم پورعلی عزیز / اگر مایل هستید که برنز بسیار تیره و شکلاتی نباشد میتوانید از شماره 51 محصول استفاده کنید. ,2,false,2016-04-25T10:51:53.4066667+00:00,خنثی,0.35,محصول,محصول
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,"عرض سلام خسته نباشین من  رنگی میخوام که خیلی برنز بسیار تیره نباشه......فقط برنزه باشه به عنوان پنکک شماره 51 خوبه؟؟
رنگ پوست:گندمی مایل ب روشن",1,false,2016-04-25T01:59:01.42+00:00,مثبت,0.79,محصول,محصول
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,man ino taze gereftam kheyli khube faghat age mikhayn be onvane roj gune estefade konin hatman shomare 52 ro begirin  magar inke poostetun kheyli sefid bashe unvaght 51 ro begirin,3,false,2016-02-21T19:07:22+00:00,خنثی,0.35,سایر,سایر
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,شانس خانومی,5,false,2016-02-18T23:46:09.4633333+00:00,خنثی,0.35,سایر,سایر
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,emrooz saat 10:10 sobh shans nazashtin man chek kardam llotfan ino bezarin baraye shans *_* mamnun,10,false,2016-02-12T12:50:01.1333333+00:00,خنثی,0.35,سایر,سایر
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,khaheshan 53 sho ham mojud konin ,7,false,2016-02-11T21:13:28.0733333+00:00,خنثی,0.35,سایر,سایر
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,lotfan lotfan shans 10:10 bezarinnnn khahesh mikonam,10,false,2016-02-11T21:01:09.9466667+00:00,خنثی,0.35,سایر,سایر
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,toro khoda baraye in shans bezzarin ,9,false,2016-02-11T20:33:25.7266667+00:00,خنثی,0.35,سایر,سایر
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,"پانیذ جان
این محصول پنکک برنزه کننده است ولی به خاطر تناژ رنگی مناسبی که داره می تونید به عنوان رژ گونه هم ازش استفاده کنید.",3,false,2016-01-20T14:36:33.69+00:00,خنثی,0.35,محصول,محصول
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,اين پنكيكه يا رژگونه؟؟؟,2,false,2016-01-18T23:15:32.74+00:00,خنثی,0.35,سایر,سایر
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,لطفا این محصول رو هم در شانس 10:10 قرار بدید,8,false,2015-11-21T00:49:32.5666667+00:00,منفی,0.67,محصول,محصول
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,"بله حسنا جان می تونید به عنوان یک رژگونه ی معمولی از این محصول استفاده کنید
",4,false,2015-10-25T09:31:47.2433333+00:00,خنثی,0.35,محصول,محصول
پنکک برنزه کننده پوست,https://www.khanoumi.com/products/bourjois-chocolate-blush-158,"سلام
ميخواستم بدونم این رژگونه روفقط برای برنزه کردن باید استفاده کرد؟
منظورم اینه که همینطوری هم میشه به عنوان یه رژگونه ی معمولی استفاده کرد؟",5,false,2015-10-24T12:04:34.57+00:00,منفی,0.67,محصول,محصول
