نام محصول,لینک محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی
ریمل 24 ساعته مگا افکت,https://www.khanoumi.com/products/avon-mega-effects-mascara-8161,baraye in mahsool hatman shans bezarin,20,false,2016-02-12T12:54:19.7333333+00:00,خنثی,0.35,سایر,سایر
ریمل 24 ساعته مگا افکت,https://www.khanoumi.com/products/avon-mega-effects-mascara-8161,برای این محصول شانس بزارین خواهشآ,25,false,2016-02-11T20:34:59.4666667+00:00,خنثی,0.35,محصول,محصول
اسپری ضد تعریق مردانه ترمیک رزیست حجم 250 میلی لیتر,https://www.khanoumi.com/products/loreal-men-expert-thermic-resist-deodorant-8164,عالیه . لطفا شارژ کنید,0,false,2024-10-17T11:47:57.7026332+00:00,مثبت,0.79,سایر,سایر
 ادو پرفیوم زنانه 212 حجم 100 میلی لیتر,https://www.khanoumi.com/products/212--women-carolina-herrera-9167,"خانم "" رستمی"" عزیز / میتوانید در صفحه محصول آیکون "" به من اطلاع بده "" را فعال کنید تا هم شانس در تخفیف قرار گرفتن محصول مورد علاقه تان را افزایش دهید و هم در زمان در تخفیف قرار گرفتن آن از طریق پیامک و ایمیل اطلاع پیدا کنید .",2,false,2016-09-03T10:18:03.4066667+00:00,منفی,0.79,محصول | قیمت,محصول
 ادو پرفیوم زنانه 212 حجم 100 میلی لیتر,https://www.khanoumi.com/products/212--women-carolina-herrera-9167,شانس 10:10 لطفا خانومی عزیز ,17,false,2016-09-01T04:20:39.83+00:00,خنثی,0.35,سایر,سایر
ماسک و اسکراب زغال و شکر سیاه حجم 175 میلی لیتر,https://www.khanoumi.com/products/freeman-charcoal-and-black-sugar-facial-polishing-mask-10187,من پوستم نرمال تا خشک هست اگر ازین استفاده کنم بعدش باید مرطوب کننده بزنم؟؟ و چندبار در هفته باید اسستفاده کنم؟ صورتم باید خشک باشه وقتی میزنم؟,0,false,2024-09-26T12:35:59+00:00,خنثی,0.35,محصول,محصول
ماسک و اسکراب زغال و شکر سیاه حجم 175 میلی لیتر,https://www.khanoumi.com/products/freeman-charcoal-and-black-sugar-facial-polishing-mask-10187,لطفا موجودش کنید,0,false,2024-06-19T13:12:20+00:00,خنثی,0.35,محصول,محصول
ماسک و اسکراب زغال و شکر سیاه حجم 175 میلی لیتر,https://www.khanoumi.com/products/freeman-charcoal-and-black-sugar-facial-polishing-mask-10187,واقعا کارش عالیه از خوب بودنش هرچی گفتم کم گفتم بی نظیره,3,true,2022-02-17T23:34:17+00:00,مثبت,0.95,محصول,محصول
ماسک و اسکراب زغال و شکر سیاه حجم 175 میلی لیتر,https://www.khanoumi.com/products/freeman-charcoal-and-black-sugar-facial-polishing-mask-10187,"برند فری من یکی از شناخته شده ترین برندهاست که ماسکهای عالی تولید میکنه. ماسک اسکراب زغال و شکر سیاه یه ماسک پاکسازی کننده خیلی قویه که برای من که پوست چرب و مختلط داشتم خیلی خوب بود. دونه های شکری که داخل ماسک هست پوست و کاملا اسکراب میکنه و منافذ و پاکسازی میکنه و جوش های سر سیاه و کم میکنه. بعد استفاده اش پوست خیلی شفاف میشه و حس تازگی داره. پیشنهاد میکنم اگه پوست چرب و مختلط دارید حتما امتحانش کنید. 
",8,false,2022-01-22T11:23:17+00:00,مثبت,0.95,محصول,محصول
ماسک و اسکراب زغال و شکر سیاه حجم 175 میلی لیتر,https://www.khanoumi.com/products/freeman-charcoal-and-black-sugar-facial-polishing-mask-10187,"عالیه جزو بهترین اسکراب هایی ک میتونین استفاده کنید بعد استفاده پوست و خشک نمیکنه و روشن شدن پوستتونو میتونید ببینبن
من خیلی وقته استفاده میکنم به خاطر حجم زیادش هنوز تموم نشده ",11,true,2021-10-22T21:39:40+00:00,مثبت,0.91,محصول,محصول
ماسک و اسکراب زغال و شکر سیاه حجم 175 میلی لیتر,https://www.khanoumi.com/products/freeman-charcoal-and-black-sugar-facial-polishing-mask-10187,بین فریمن هایی که استفاده کردم،ماسک ذغالش بعد از هر استفاده پوست شفاف و روشن تر میشه و تمام چربی های پوستو میگیره.و گریپ فروتش بوی خیلی خوبی داره.,1,true,2021-10-11T21:01:02+00:00,مثبت,0.79,محصول,محصول
ماسک و اسکراب زغال و شکر سیاه حجم 175 میلی لیتر,https://www.khanoumi.com/products/freeman-charcoal-and-black-sugar-facial-polishing-mask-10187,"سلام 
فروشگاه خانمی من واسه اولین بار ازش خرید کردم و از اولین خریدم راضی هستم ماسک ذغال و شکر فریمن رو اینجا با قبمت مناسبتر خریدم و بعداز خرید هم با برنامه بارکد خوان از اصالت این ماسک مطمئن شدم.
بعداز پرسنل فروشگاه خانمی بابت ارسال سریعشون تشکر میکنم‌ و دراخر بابت هدیه ی که همراه این ماسک ارسال کردند تشکر میکنم",22,true,2020-09-16T15:59:30+00:00,مثبت,0.67,تحویل و ارسال | اصل بودن کالا,تحویل و ارسال
ماسک و اسکراب زغال و شکر سیاه حجم 175 میلی لیتر,https://www.khanoumi.com/products/freeman-charcoal-and-black-sugar-facial-polishing-mask-10187,"هرکی منو میبینه میگه وااااای دختر چیکار کردی که صورتت اینقدر سفید و صاف و درخشنده شده میگم ماسک صورت زغالی فریمن رو میزنم
هرچی از عالی و محشر بودنش بگم کم گفته ام",19,true,2020-08-31T00:44:30+00:00,مثبت,0.67,محصول,محصول
ماسک و اسکراب زغال و شکر سیاه حجم 175 میلی لیتر,https://www.khanoumi.com/products/freeman-charcoal-and-black-sugar-facial-polishing-mask-10187,بعد از اولین استفاده تاثیرش معلوم میشه و پوست رو نرم میکنه. ,16,true,2020-07-28T14:42:55+00:00,خنثی,0.35,محصول,محصول
