نام محصول,لینک محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی
رژ لب جامد مدل Velvet Matte,https://www.khanoumi.com/products/golden-rose-velvet-matte-lipstick-15581,من این رژ رو رنگ ۱۶ دارم و واقعا عالی و فوق العاده شیکه الانم میخوام رنگ ۱۴شو بخرم امیدوارم اونم قشنگ باشه ,1,true,2019-09-28T00:39:49+00:00,مثبت,0.79,محصول,محصول
رژ لب جامد مدل Velvet Matte,https://www.khanoumi.com/products/golden-rose-velvet-matte-lipstick-15581,خیلی نرم هستش و روی لب میشینه و حالت مات و خوشگلی ب لب میده بدون پوسته ای جلوه دادن لب,1,false,2019-09-27T02:21:52+00:00,منفی,0.67,محصول,محصول
رژ لب جامد مدل Velvet Matte,https://www.khanoumi.com/products/golden-rose-velvet-matte-lipstick-15581,رنگش خیلی خوبه.مخملی رولب,0,false,2019-09-26T12:27:05+00:00,مثبت,0.91,محصول,محصول
رژ لب جامد مدل Velvet Matte,https://www.khanoumi.com/products/golden-rose-velvet-matte-lipstick-15581,من دو رنگ 16 و 12 رو خریدم بسیار زیبا و طبیعی هستن.بافت رژلب هم خیلی سبک و مخملیه از خریدم راضی هستم.,0,true,2019-09-24T18:18:06+00:00,مثبت,0.67,محصول,محصول
رژ لب جامد مدل Velvet Matte,https://www.khanoumi.com/products/golden-rose-velvet-matte-lipstick-15581,دوتا رنگ ازش خریدم کیفیت و ماندگاریشون خوب بود.. ,0,false,2019-09-20T11:18:13+00:00,مثبت,0.79,محصول,محصول
رژ لب جامد مدل Velvet Matte,https://www.khanoumi.com/products/golden-rose-velvet-matte-lipstick-15581,از رنگش راضی ام اما لب رو چرب یا مرطوب نمیکنه،واسه من که پوست لبم خشکه خیلی خوب نیست چون رطوبت و چربی اش کمه,3,true,2019-09-16T07:39:50+00:00,خنثی,0.35,محصول,محصول
رژ لب جامد مدل Velvet Matte,https://www.khanoumi.com/products/golden-rose-velvet-matte-lipstick-15581,خانومی تو روخدا رژ جامد حرارتی بیار خیلی متقاضی داره هیچ جا ندارن شما بیارید لطفا,0,true,2019-09-15T16:05:08.49+00:00,خنثی,0.35,سایر,سایر
رژ لب جامد مدل Velvet Matte,https://www.khanoumi.com/products/golden-rose-velvet-matte-lipstick-15581,"اینبار شماره ۳۱ رو سفارش دادم.شماره ۳۱ گلدن رز،از بهترین مشابه های رنگ ولوت تدی مک هست.رنگ،ظاهرشون رو لب و موندگاری شون عینه همه بااین تفاوت که گلدن رز قیمتش تقریبا یک دهم هست.(یسری دیگه از مشابه ها شماره ۱۶ گلدن رز و مک تائوپ هست و شماره ۲۳ گلدن رز و مک دیوا)
شماره ۳۱ گلدن رز یه رنگ نود زیبا هست که برای استفاده روزانه و محل کار کاملا مناسبه.از اون نودهایی که زیادی روشنن و باعث میشن لب به سفیدی بزنه نیست و زیادی قهوه ای هم نیست.مثل همه رژلب های این سری،دو سه بار اول استفاده،کاملا مات نیست اما بعدش کامل مات میشه بدون اینکه لب رو زیادی خشک کنه و بعنوان یه رژلب جامد،موندگاری خوبی داره،پخش نمیشه و دندون رو لک نمیکنه
شماره های نزدیک بهش: ۲۷ ولی ۲۷ شادتره، ۱۶ پررنگ تره، ۱ قهوه ای تره و ۳ کمرنگ تره اما درکل بهش نزدیکن",22,true,2019-09-12T16:35:52+00:00,ترکیبی,0.79,محصول | قیمت,محصول
رژ لب جامد مدل Velvet Matte,https://www.khanoumi.com/products/golden-rose-velvet-matte-lipstick-15581,شماره 16 رنگش با چیزی که تو سایت هست تفاوت داره و خیلی خوش رنگ تر هست. لبو خشک نمیکنه و ماندگاری نسبتا خوبی داره,10,true,2019-09-11T14:27:29.01+00:00,مثبت,0.67,محصول,محصول
رژ لب جامد مدل Velvet Matte,https://www.khanoumi.com/products/golden-rose-velvet-matte-lipstick-15581,کیفیت این برند با این رنج قیمت خیلی خوبه، اصلا لب رو خشک نمیکنه و پوسته نمیده.موندگاریشم بالاست.بازم حتما خرید خواهم کرد از این رژها,3,true,2019-09-05T16:36:32.8866667+00:00,مثبت,0.95,محصول | اصل بودن کالا | قیمت,محصول
