نام محصول,لینک محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی
رژ لب مدل Long Wearing وزن 5 گرمی,https://www.khanoumi.com/products/flormar-long-wearing-lipstick-4656,شانس لطفا,0,false,2016-08-23T02:35:59.9666667+00:00,خنثی,0.35,سایر,سایر
رژ لب مدل Long Wearing وزن 5 گرمی,https://www.khanoumi.com/products/flormar-long-wearing-lipstick-4656,"خانم "" نصرتی "" عزیز / به مناسبت "" روز دختر "" فروشگاه ""خانومی"" جهت حفظ رفاه حال شما همراهان عزیز ""ارسال رایگان برای خرید های بالای 50000 تومان "" را در نظر گرفته است . ",0,false,2016-08-03T10:27:06.4666667+00:00,خنثی,0.35,تحویل و ارسال,تحویل و ارسال
رژ لب مدل Long Wearing وزن 5 گرمی,https://www.khanoumi.com/products/flormar-long-wearing-lipstick-4656,"سلام وقتتون بخیر
کاش به مناسبت روز دختر ارسال رایگان میذاشتین...
",0,false,2016-08-02T14:24:18.1366667+00:00,خنثی,0.35,تحویل و ارسال,تحویل و ارسال
رژ لب مدل Long Wearing وزن 5 گرمی,https://www.khanoumi.com/products/flormar-long-wearing-lipstick-4656,من رنگ L37  رو گرفتم.صورتی پررنگه.کاملا مات و ماندگاری خوبی هم داره نسبتا,1,true,2016-07-16T23:55:07.9433333+00:00,مثبت,0.67,محصول,محصول
رژ لب مدل Long Wearing وزن 5 گرمی,https://www.khanoumi.com/products/flormar-long-wearing-lipstick-4656,نیلوفر عزیز / رنگL05 از رژ لب لانگ ورینگ فلورمار تیره تر از شماره رنگL23 است . اگر رنگ گوشتی مد نظرتان است میتوانید به  رنگL12 نگاهی بیاندازید . ,1,false,2016-07-03T16:23:28.4666667+00:00,خنثی,0.35,محصول,محصول
رژ لب مدل Long Wearing وزن 5 گرمی,https://www.khanoumi.com/products/flormar-long-wearing-lipstick-4656,"میشه لطفا فرق رنگ 05 و23 مشخص کنید؟پالت رنگ رژ هر دو رو یکسان نشون میده!
و لطفا رنگهای صورتی و رنگهایی که اصطلاحا گوشتی حساب میشن رو مشخص کنید.مثلا شماره 07 و 32 گوشتی اند؟؟؟",0,false,2016-07-03T15:01:47.3566667+00:00,خنثی,0.35,محصول,محصول
رژ لب مدل Long Wearing وزن 5 گرمی,https://www.khanoumi.com/products/flormar-long-wearing-lipstick-4656,"خانم طباطبایی عزیز / رنگ های درج شده در سایت از"" سایت برند تولید کننده و مرجع"" تبعیت میکند و این محصول در سایت اصلی خود نیز عینا چنین چارت رنگی ایی در دست رس مشتریان قرار داده است که ""فروشگاه خانومی "" نیز پیرو رنگ های ارائه شده از سایت مرجع رنگ هارا در دست رس شما خریداران عزیز جهت انتخاب قرار داده است .",0,false,2016-05-02T09:56:20.5866667+00:00,مثبت,0.67,محصول | اصل بودن کالا,محصول
رژ لب مدل Long Wearing وزن 5 گرمی,https://www.khanoumi.com/products/flormar-long-wearing-lipstick-4656,رنگ رژ لب در عکس  با رنگ های نمونه مشابه نیستند کدام یک رنگ اصلیه خود رژ لب هست ؟,0,false,2016-05-01T23:02:58.1766667+00:00,مثبت,0.67,محصول | اصل بودن کالا,محصول
رژ لب مدل Long Wearing وزن 5 گرمی,https://www.khanoumi.com/products/flormar-long-wearing-lipstick-4656,خانم نوبخت عزیز / به شماره رنگ های 13 و 39 میتوانید نگاهی بیاندازید . ,0,false,2016-03-06T10:53:55.6033333+00:00,خنثی,0.35,محصول,محصول
رژ لب مدل Long Wearing وزن 5 گرمی,https://www.khanoumi.com/products/flormar-long-wearing-lipstick-4656,سلام خسته نباشید رنگ جیگری کدوم شماره میشه؟,0,false,2016-03-06T01:33:28.8933333+00:00,خنثی,0.35,محصول,محصول
